Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10
"(166, 0.10848823005198963)","(278, 0.10946689444660555)","(555, 0.10458625033874222)","(603, 0.10567679248711669)","(93, 0.05426217179049179)","(616, 0.0542363706803652)","(460, 0.0971290414536734)","(495, 0.10154701050880151)","(584, 0.09976695465774153)","(174, 0.0851228019126895)"
"(33, 0.10833972225786667)","(73, 0.10943874690122964)","(429, 0.10415260155179458)","(530, 0.10563907059982176)","(201, 0.054083705058902955)","(244, 0.05421649716637412)","(67, 0.09704279977153057)","(610, 0.10152148087367766)","(424, 0.09961262892717096)","(564, 0.08494395798067317)"
"(665, 0.10830406495474941)","(273, 0.10939284059390153)","(140, 0.10403540869404214)","(182, 0.10556277704131235)","(645, 0.05375876862033154)","(617, 0.0541590056999019)","(277, 0.09675941848600156)","(439, 0.10143727953635047)","(443, 0.09934849017141063)","(317, 0.08491206612439162)"
"(414, 0.10794431316997706)","(641, 0.10907723987519098)","(587, 0.10396609934441285)","(442, 0.10554647431379836)","(610, 0.053629837430071846)","(291, 0.05415091087320475)","(614, 0.09586334658424761)","(44, 0.10104951027082519)","(110, 0.09903824648925522)","(226, 0.08464561531468588)"
"(463, 0.10780927661055241)","(517, 0.10885795838792381)","(424, 0.10385329641668761)","(639, 0.10521926212759881)","(574, 0.05360218593480875)","(7, 0.05409056045495669)","(203, 0.09573393387835966)","(125, 0.10102968532807048)","(234, 0.09897714696294735)","(332, 0.08460575710109548)"
"(167, 0.10779976941911013)","(448, 0.10881323700810952)","(20, 0.10365128063072176)","(217, 0.10518528103136528)","(75, 0.05331594380542797)","(34, 0.05408068196153866)","(322, 0.09545575320114803)","(644, 0.1009919579725674)","(622, 0.09886881481322701)","(68, 0.08437665559080823)"
"(445, 0.10773713149315303)","(607, 0.10876688908037732)","(5, 0.10352823830053252)","(676, 0.10516362593609542)","(73, 0.05318909986886716)","(586, 0.05406810738854553)","(208, 0.09528698495120433)","(50, 0.10083139314154041)","(251, 0.09860456459923272)","(116, 0.08415842408363279)"
"(584, 0.10733405256715323)","(670, 0.10857755815212439)","(597, 0.103439440552004)","(111, 0.10509497896112294)","(588, 0.0531774887198792)","(593, 0.05405689256584022)","(613, 0.09526248630866635)","(110, 0.10083125361291904)","(402, 0.09850868822952481)","(145, 0.08413316893704387)"
"(12, 0.10676589471609435)","(135, 0.10853230562193901)","(586, 0.10333526997714715)","(619, 0.10503266668556877)","(440, 0.05313847296120873)","(519, 0.053936847648559494)","(93, 0.09495911229848875)","(470, 0.10082319337063114)","(586, 0.09830655431692709)","(35, 0.08390516540243056)"
"(113, 0.10639099121603764)","(442, 0.1083943668241177)","(668, 0.1033121700108331)","(394, 0.1049395040277261)","(67, 0.05301462161197164)","(611, 0.05378191494836321)","(620, 0.09465687457433317)","(496, 0.10080957774295553)","(612, 0.0981787417294256)","(562, 0.0838782448218966)"
"(46, 0.10601429667541014)","(490, 0.10828467750378515)","(174, 0.10322611652440204)","(55, 0.10491420231948548)","(274, 0.052957184964632746)","(13, 0.05351890184944876)","(116, 0.094528121504272)","(51, 0.10073856843630635)","(39, 0.09795370826600122)","(488, 0.08364664890772078)"
"(387, 0.10530362064674043)","(217, 0.10767487340875556)","(644, 0.10294046416116463)","(312, 0.10480174227596986)","(298, 0.05273413535787401)","(24, 0.053490152478727404)","(446, 0.09430422227324478)","(459, 0.10055269539181232)","(38, 0.097939314617796)","(107, 0.0828431834182302)"
"(603, 0.10526552600552914)","(650, 0.10767478627893963)","(584, 0.10254723346467268)","(681, 0.10478189361871963)","(40, 0.05267190167695781)","(555, 0.05331839130586596)","(22, 0.09410491728730343)","(184, 0.1004536246818402)","(618, 0.0979202694846695)","(74, 0.082805644977667)"
"(60, 0.10505307886926582)","(479, 0.1074137636416514)","(561, 0.10248418193306318)","(60, 0.10475286668644049)","(390, 0.052560179055274006)","(676, 0.05330212778787625)","(576, 0.09384979831563986)","(497, 0.10031507924149986)","(562, 0.09765060122140087)","(13, 0.08272241955548493)"
"(680, 0.10492546634981936)","(3, 0.10724905471721469)","(618, 0.10241968622844251)","(310, 0.10450636206680945)","(114, 0.052233877841643156)","(474, 0.05318277441413478)","(319, 0.0933064380696452)","(182, 0.10027848908696688)","(664, 0.09746122622963913)","(120, 0.0827125408789331)"
"(388, 0.10470094156259395)","(644, 0.10705094883977728)","(322, 0.10231993122021496)","(600, 0.10439877064028616)","(332, 0.051985547778031244)","(306, 0.05307251716908364)","(671, 0.09323042226181176)","(559, 0.10020462310260068)","(137, 0.09734749003886141)","(407, 0.08261517720377676)"
"(600, 0.10465342358808796)","(489, 0.1069726164609007)","(157, 0.10208105570278715)","(517, 0.10439761498125735)","(418, 0.051963852268277655)","(569, 0.052966702603670916)","(594, 0.09286107779091189)","(39, 0.1001053406076994)","(578, 0.09717976763130405)","(227, 0.08257971049929787)"
"(493, 0.10438750813563014)","(620, 0.10676253389428433)","(562, 0.10205269218750355)","(678, 0.10432251276053288)","(150, 0.05193242198630351)","(124, 0.052953536012488096)","(112, 0.09283000262019049)","(299, 0.10007055048554321)","(67, 0.09704279866966903)","(137, 0.08230020344764179)"
"(630, 0.10381471174123047)","(675, 0.10667030643272139)","(389, 0.10176406002202246)","(550, 0.10392194371179723)","(62, 0.05163354973592518)","(589, 0.052944936188482006)","(37, 0.09281967121138017)","(393, 0.10001989227554771)","(42, 0.09701426598809094)","(135, 0.08227663385549963)"
"(601, 0.10377661982314429)","(274, 0.10636131319679674)","(673, 0.1016945760109646)","(329, 0.10377483731020402)","(474, 0.05129923843408169)","(140, 0.0528315011931046)","(560, 0.09267785341702521)","(170, 0.09954633280701194)","(252, 0.09674714228026561)","(663, 0.08215483354975735)"
"(146, 0.10373094644850905)","(7, 0.10610969365794906)","(543, 0.10169180477675592)","(400, 0.10374455700462971)","(193, 0.050220917868315756)","(633, 0.05282237488313626)","(474, 0.09254640067369167)","(395, 0.09953183247659807)","(227, 0.09623544031783297)","(421, 0.08212083504958229)"
"(672, 0.10355162059036739)","(195, 0.10602607187479784)","(493, 0.10155026322942536)","(154, 0.10371589965484765)","(121, 0.0502202627489159)","(278, 0.05274879661533285)","(645, 0.09246013494776394)","(69, 0.09945587034000491)","(476, 0.09610483487825687)","(580, 0.08207295103127567)"
"(587, 0.10316748309308757)","(395, 0.10592433999870855)","(110, 0.10126952843859621)","(212, 0.10333901391176518)","(222, 0.05017871858572841)","(446, 0.05265677021593136)","(662, 0.09234211560499789)","(49, 0.09925313183238885)","(614, 0.09586334487138984)","(383, 0.08198052573508292)"
"(116, 0.10308464926893382)","(89, 0.10586155275586832)","(150, 0.10119891562267155)","(563, 0.10320495602778096)","(622, 0.05009085724315216)","(29, 0.05263968823904262)","(601, 0.0922189606274293)","(75, 0.09900118927680258)","(322, 0.09545575223519508)","(203, 0.08197835915794471)"
"(642, 0.1030504189988622)","(676, 0.1057369962453213)","(578, 0.10118415714450836)","(391, 0.10309039443330242)","(140, 0.04976102591372646)","(96, 0.05252203453939897)","(479, 0.0919153602994194)","(60, 0.09860717535626747)","(208, 0.09528698433104378)","(318, 0.08174815454742385)"
"(629, 0.10288971598677553)","(324, 0.10549798890899621)","(612, 0.10096214946202804)","(668, 0.10288651046966679)","(143, 0.04973573645892497)","(212, 0.05250000892638745)","(616, 0.09162541896443445)","(138, 0.09857174202501476)","(613, 0.09526248459541713)","(40, 0.08168794202003392)"
"(634, 0.10249992307275153)","(576, 0.10546627597501383)","(22, 0.10085251505817207)","(556, 0.10266445092194261)","(31, 0.04964580244415353)","(467, 0.05249779104897506)","(489, 0.09139494075243443)","(537, 0.09844817198452584)","(93, 0.09495911208067166)","(400, 0.08130673430465125)"
"(199, 0.10245614785253254)","(663, 0.10531443918828777)","(104, 0.10082944548848921)","(140, 0.10259998892722529)","(24, 0.04950667610672196)","(67, 0.0524588258631706)","(593, 0.09138471073579138)","(600, 0.09834496171844669)","(203, 0.09488667907851432)","(292, 0.08063853489898655)"
"(79, 0.10232878480214275)","(222, 0.10531434215330318)","(614, 0.1008003677679536)","(161, 0.10218191488179432)","(195, 0.04912354240802824)","(207, 0.052375617844986136)","(617, 0.09128431171400789)","(663, 0.09817795336571039)","(620, 0.09465687253547489)","(34, 0.0802651420188157)"
"(112, 0.10211543825710616)","(464, 0.10528231686016656)","(675, 0.10065994916884696)","(551, 0.10196423848942003)","(138, 0.049064908633399615)","(463, 0.05234797642436764)","(667, 0.09118369219923048)","(11, 0.09786620672535129)","(116, 0.09452811961010438)","(385, 0.08021539603597784)"
"(568, 0.10161454574509998)","(69, 0.10506703680321597)","(622, 0.10060149205486921)","(323, 0.10190379340437004)","(322, 0.0489169991514027)","(482, 0.05233036854086924)","(464, 0.09104466271206246)","(463, 0.09766671571000496)","(22, 0.09410491122981679)","(386, 0.08019147710748531)"
"(75, 0.10113514314563593)","(574, 0.10462576198500925)","(2, 0.10033945090314506)","(422, 0.10135196050926623)","(98, 0.0487487988496793)","(59, 0.05212434214612276)","(574, 0.09059123926844687)","(68, 0.09720217745184999)","(393, 0.09405295139247863)","(46, 0.08019114711957073)"
"(73, 0.10093010210226094)","(137, 0.1042889431602041)","(613, 0.10014329281375882)","(461, 0.1011363926787398)","(671, 0.048384235988197674)","(464, 0.052068235830326375)","(3, 0.09010803914830087)","(678, 0.0971794515317882)","(319, 0.09330643797445964)","(58, 0.08000272563915276)"
"(183, 0.10086977104724876)","(55, 0.10415100985719722)","(414, 0.09995108737622582)","(552, 0.10084547659003036)","(663, 0.048305691466710585)","(518, 0.051964235141431156)","(274, 0.09007641357258883)","(135, 0.09711259941841989)","(112, 0.09283000096267788)","(160, 0.07995170897483171)"
"(650, 0.1007327298461431)","(649, 0.10366628557796181)","(326, 0.099730074573524)","(174, 0.10056474528353432)","(22, 0.04788807199650552)","(68, 0.05190589322415175)","(136, 0.08960829851430743)","(547, 0.09659084981246861)","(488, 0.0925020869821482)","(151, 0.07975210547236489)"
"(517, 0.10048887671274058)","(96, 0.10366446887701432)","(407, 0.09905198163680978)","(104, 0.10053694756826297)","(303, 0.04788235722678069)","(75, 0.05182437776261875)","(120, 0.08928512639373157)","(55, 0.09647622740483315)","(237, 0.09249493571459086)","(402, 0.07973217343815693)"
"(448, 0.10023134261794656)","(665, 0.10364757512668041)","(38, 0.09902681855286914)","(555, 0.10033009228963156)","(131, 0.04769362150575318)","(639, 0.051797745669346654)","(75, 0.08903948608424321)","(3, 0.0963570676408312)","(662, 0.09234211532785658)","(27, 0.079666097107995)"
"(135, 0.10015956144569829)","(65, 0.10336285610257855)","(569, 0.09885616609030977)","(599, 0.10024411803339424)","(148, 0.04749744675030269)","(126, 0.05167960573778618)","(290, 0.08899032999578564)","(544, 0.09594877902587101)","(601, 0.09221895868734153)","(251, 0.07949118203650056)"
"(442, 0.10005655927807283)","(445, 0.10310526588489632)","(67, 0.09879734397882631)","(424, 0.09961265252135508)","(122, 0.04737981262331273)","(136, 0.05161662218650271)","(575, 0.08888715243289541)","(558, 0.09589292702748546)","(228, 0.09186416217243348)","(309, 0.07935865045703465)"
"(607, 0.10000900546414974)","(572, 0.10297633047271201)","(573, 0.09847058239425702)","(429, 0.09956367180450187)","(160, 0.04693993308315384)","(596, 0.05156769162712146)","(629, 0.088878499986896)","(548, 0.09554709831475641)","(616, 0.09162541897657829)","(650, 0.0793219334042001)"
"(569, 0.09993421255390787)","(544, 0.1028904736855755)","(251, 0.09844643966336887)","(150, 0.09931413486388928)","(581, 0.046482075396729945)","(650, 0.051473196135889014)","(649, 0.08887107217680291)","(572, 0.09551536943586841)","(580, 0.09139614997619264)","(476, 0.07931237552207275)"
"(620, 0.09911638127739339)","(612, 0.10224905379041475)","(116, 0.09842659491742836)","(414, 0.0991108569887761)","(117, 0.046460201900416546)","(60, 0.051449293489187725)","(65, 0.08885358833595924)","(292, 0.09539982926959059)","(489, 0.09139493914527602)","(662, 0.07916063097535)"
"(644, 0.09901599022625547)","(596, 0.1020499879966439)","(37, 0.09822961106227998)","(110, 0.09903825913191419)","(13, 0.046279046807346645)","(137, 0.05138410768767643)","(611, 0.08884368460214656)","(53, 0.09527224764952609)","(35, 0.09131351314966259)","(96, 0.07907660379131343)"
"(675, 0.09887797476513616)","(579, 0.10160647889103412)","(620, 0.09816007339123636)","(597, 0.09885466120177513)","(103, 0.04597430903181803)","(600, 0.05135147050662427)","(669, 0.08874085097776578)","(589, 0.09518700315587819)","(617, 0.09128430975076243)","(231, 0.07845494040206374)"
"(81, 0.09882314902662796)","(611, 0.10160071915840985)","(115, 0.09807193450857188)","(5, 0.09829791967351442)","(383, 0.04572230710732944)","(547, 0.05132742195556816)","(4, 0.08867729113463572)","(472, 0.09484175816060234)","(667, 0.09118369024563658)","(252, 0.07810224702682482)"
"(50, 0.09808580510938603)","(616, 0.10158675506417465)","(560, 0.09735428646762907)","(618, 0.09792029374930196)","(673, 0.045602250955923275)","(489, 0.051305887300888975)","(610, 0.08847710212769638)","(509, 0.09431449249871571)","(136, 0.08960829638938038)","(670, 0.07780344948147591)"
"(576, 0.0978947049944876)","(407, 0.1015770668569121)","(164, 0.09728674861290076)","(389, 0.09788058653118333)","(12, 0.04531965506902175)","(622, 0.05119845496423148)","(412, 0.08847591930938134)","(392, 0.09404311357731103)","(120, 0.08928512471946107)","(230, 0.07775988378778614)"
"(464, 0.09785042331346486)","(681, 0.10153945694773298)","(576, 0.09728309458558655)","(157, 0.09785686418597501)","(651, 0.04504062178582889)","(580, 0.05119093093631919)","(324, 0.08824248741680464)","(681, 0.09323907707876085)","(75, 0.089039480738471)","(33, 0.07764587698157804)"
"(676, 0.09736010332887829)","(10, 0.1012976568505536)","(93, 0.0968902987424536)","(407, 0.09776960740186003)","(406, 0.04497202521704348)","(448, 0.051149495213516014)","(306, 0.08814466054800651)","(479, 0.09318667668211585)","(298, 0.08891119977660644)","(394, 0.07760667220424684)"
"(574, 0.09735724563097509)","(46, 0.10117094289091524)","(112, 0.09676668176289181)","(493, 0.09773134024868932)","(147, 0.044784471053759226)","(114, 0.051012337177291124)","(589, 0.08813588164955669)","(443, 0.09318361287286844)","(575, 0.08888715066477214)","(20, 0.07721143385391382)"
"(222, 0.09723299016240955)","(617, 0.1009501570558089)","(601, 0.09633484089904137)","(326, 0.09766972018374828)","(657, 0.04465224268257287)","(93, 0.05093578875071689)","(261, 0.08812614824758037)","(648, 0.0926461892358554)","(611, 0.08884368455563084)","(295, 0.07692093192605409)"
"(89, 0.09717785954564262)","(36, 0.10077799491593278)","(594, 0.0958151351277934)","(38, 0.09764321520266277)","(410, 0.044361122420147274)","(470, 0.05092306673671664)","(46, 0.08786125661460585)","(273, 0.0920929601765551)","(421, 0.08877995038755206)","(115, 0.07686377994010207)"
"(559, 0.09710478716859865)","(12, 0.10052856759411209)","(261, 0.09560423118496872)","(543, 0.09735800907206792)","(139, 0.04421144502142112)","(460, 0.05081210105507877)","(160, 0.0875733100090221)","(112, 0.09201664273718159)","(669, 0.08874085083980675)","(291, 0.0766017914254933)"
"(573, 0.09689287254626286)","(594, 0.09993746685849346)","(671, 0.09552596162842084)","(322, 0.0954557882607522)","(636, 0.04420302497824511)","(636, 0.05078945347090961)","(636, 0.0874070439772865)","(183, 0.0919284083275847)","(4, 0.08867728955597927)","(671, 0.07650816644976435)"
"(164, 0.09672072327517321)","(100, 0.09961521865258181)","(616, 0.09481655181316881)","(569, 0.09535243566042759)","(590, 0.04408805752387099)","(509, 0.05043098567629538)","(12, 0.08688104316906906)","(150, 0.09174351483357002)","(610, 0.08847710173801603)","(641, 0.07622107900348069)"
"(649, 0.09654544554776105)","(575, 0.09932629757500389)","(580, 0.09480701036971617)","(203, 0.09512295246026424)","(185, 0.04401643323445235)","(319, 0.050377403929165454)","(278, 0.08681793000654107)","(579, 0.09160168781371808)","(412, 0.0884759178328955)","(164, 0.0760112320347914)"
"(579, 0.0964683306474016)","(312, 0.09875589385259154)","(320, 0.09474496526150017)","(579, 0.09511668522501214)","(401, 0.043961904737149816)","(492, 0.05034133526614405)","(410, 0.08681037877428749)","(625, 0.09133853632702096)","(58, 0.08771215142752153)","(222, 0.07571201846709125)"
"(69, 0.0963350927270515)","(11, 0.09866373509611542)","(464, 0.09468695460015492)","(21, 0.09454803351210932)","(10, 0.043412684855927364)","(644, 0.05030241461988035)","(201, 0.08675817852811307)","(93, 0.09126960830151706)","(222, 0.08766256707838697)","(299, 0.07569608166841556)"
"(65, 0.09624687329674292)","(550, 0.09839160656139932)","(617, 0.09443811433453914)","(261, 0.0941984505791362)","(120, 0.043321268405117526)","(573, 0.05020630175476541)","(251, 0.08668437903092903)","(227, 0.09118689619149849)","(636, 0.08740704216791387)","(678, 0.07547033739365346)"
"(55, 0.095832086994925)","(329, 0.09813823997597032)","(593, 0.09424505391462006)","(22, 0.09410494439043508)","(38, 0.042472128398359274)","(312, 0.050048086007425614)","(323, 0.08656885683281625)","(490, 0.09092462730509938)","(410, 0.08681037888647682)","(274, 0.07542769931283719)"
"(596, 0.09571383791136089)","(110, 0.09806446907762939)","(574, 0.09416976220955951)","(251, 0.09404250355951703)","(386, 0.04236149185140201)","(575, 0.050040542743544546)","(641, 0.08645316196350745)","(324, 0.09061869371402749)","(201, 0.08675817753153595)","(329, 0.07535900992396488)"
"(96, 0.09543429315866062)","(310, 0.09803844504078113)","(252, 0.09395781544421214)","(164, 0.09402424610798903)","(101, 0.04230930465505729)","(115, 0.04999045382394283)","(395, 0.08638717882039999)","(622, 0.09025877679042754)","(323, 0.08656885581738413)","(290, 0.07526536542095619)"
"(217, 0.09519828197434373)","(75, 0.09796168942047549)","(202, 0.09389261945376298)","(671, 0.0932304339213851)","(111, 0.04223404901772755)","(310, 0.04997350866968515)","(295, 0.08633992170482128)","(122, 0.09016384984941563)","(395, 0.08638717744499352)","(67, 0.07525505183638974)"
"(174, 0.09507603422822837)","(593, 0.09786986311105463)","(649, 0.09247920328476537)","(320, 0.09304955140192393)","(407, 0.04207130601128513)","(590, 0.04992414196992836)","(459, 0.08624322520860296)","(676, 0.08994662103804373)","(459, 0.08624322516746548)","(423, 0.07522170647964413)"
"(611, 0.09450132757854379)","(678, 0.0972782629223705)","(65, 0.09243253784331594)","(37, 0.09281969538834622)","(668, 0.04202083910704456)","(227, 0.049724328696152044)","(638, 0.08617692024962174)","(274, 0.08991072683294318)","(261, 0.08604744929529994)","(395, 0.07485470492274895)"
"(612, 0.09440903751459648)","(629, 0.09727430260610094)","(611, 0.09224760503100791)","(560, 0.09267787770705317)","(2, 0.04185894473018907)","(49, 0.049675415006142594)","(588, 0.08572848566077179)","(46, 0.08923381256621497)","(332, 0.0858372655223691)","(150, 0.0748153142757591)"
"(616, 0.09429639541653642)","(588, 0.09719958849841977)","(575, 0.09208248973929478)","(601, 0.09221898300114036)","(100, 0.04173981139026016)","(110, 0.049453095774225325)","(59, 0.08572555535900292)","(67, 0.08905205235430613)","(588, 0.08572848378093076)","(482, 0.07468863977277786)"
"(572, 0.09410300262422389)","(59, 0.09688600274907663)","(410, 0.09199997399618318)","(464, 0.09104467749224127)","(323, 0.04139538513509614)","(127, 0.0493746027638986)","(400, 0.08560710056353898)","(329, 0.08844025299592488)","(400, 0.08560709866148784)","(672, 0.0745023744772823)"
"(383, 0.0940509191113171)","(33, 0.09634226879774636)","(58, 0.09125499386912389)","(136, 0.08960830375693682)","(385, 0.04069090178631065)","(445, 0.04937417786330851)","(668, 0.085595136417255)","(137, 0.08813845553590725)","(668, 0.08559513619180815)","(673, 0.0744288877770592)"
"(617, 0.09368799490171603)","(474, 0.09607980508276767)","(423, 0.09114619032265181)","(252, 0.08959901834521486)","(161, 0.04061244786186733)","(559, 0.04903223636265529)","(127, 0.08552059350386867)","(226, 0.0880703328832288)","(127, 0.08552059338085713)","(136, 0.07435814327351312)"
"(34, 0.09367242740852237)","(559, 0.09554568571290067)","(136, 0.09104566097325767)","(669, 0.08874085645045714)","(124, 0.040137881204647695)","(203, 0.04893136442192809)","(231, 0.08520377360142295)","(115, 0.08792679090885282)","(68, 0.08510172410855217)","(571, 0.07384328228997784)"
"(681, 0.09319548731362537)","(150, 0.09454407961191895)","(589, 0.09071922011458113)","(387, 0.08842830965758845)","(123, 0.039529097827355544)","(298, 0.048919838068956244)","(252, 0.08519442407507495)","(298, 0.08748726923339428)","(229, 0.08464363804787656)","(278, 0.07356114665092604)"
"(195, 0.09308201272085731)","(160, 0.09428192881519776)","(395, 0.0904168909071274)","(589, 0.08813589373525288)","(129, 0.03936833707176261)","(3, 0.04889292137297696)","(68, 0.08510172597544777)","(96, 0.0873460817735777)","(650, 0.08438005700626323)","(242, 0.07349472431512125)"
"(321, 0.09295446750347364)","(671, 0.09385173756264323)","(160, 0.09036315937893778)","(388, 0.08810299361316506)","(400, 0.039212064108759895)","(292, 0.04854373239181406)","(665, 0.08487209876733737)","(448, 0.08721400225410014)","(177, 0.08400913522971232)","(319, 0.07309939851755379)"
"(594, 0.09249472336324309)","(589, 0.0927677618865366)","(229, 0.08999230255419588)","(160, 0.08757332366535893)","(199, 0.03869804016266744)","(242, 0.04845466629050518)","(650, 0.08438005700392573)","(671, 0.08676852250346088)","(383, 0.08365268671587311)","(3, 0.07179259640901996)"
"(575, 0.0921611188349854)","(140, 0.0927423588299289)","(387, 0.08994106157801805)","(33, 0.08733647535761654)","(130, 0.03817923267659835)","(443, 0.04838371341498782)","(230, 0.08411784441453586)","(7, 0.08652893890542022)","(440, 0.08341718751442966)","(422, 0.07172010772219876)"
"(610, 0.0921229415010015)","(622, 0.09244266640536516)","(177, 0.08975184335464358)","(423, 0.08708566356030704)","(389, 0.03767014444501229)","(576, 0.048287627561258276)","(218, 0.08378889886630311)","(217, 0.08628932582714643)","(10, 0.08133639249450533)","(79, 0.07154473381353181)"
"(182, 0.09192682560176485)","(261, 0.09210154210273448)","(43, 0.0896322187945895)","(410, 0.08681041093370488)","(412, 0.03765868228322746)","(104, 0.048119543396608316)","(672, 0.08341789003948201)","(108, 0.08626708972179827)","(219, 0.0813240796343244)","(416, 0.0715425622157558)"
"(332, 0.09078454194149922)","(326, 0.09186583316983632)","(388, 0.08955901833317673)","(395, 0.08638720295722586)","(116, 0.03760498291300316)","(58, 0.048098941946955)","(440, 0.08341719036419747)","(474, 0.08594081507626844)","(625, 0.08097982737883645)","(415, 0.07143027554200623)"
"(593, 0.09054588555558706)","(93, 0.09177728436402684)","(669, 0.08945413826144359)","(43, 0.08585873645400721)","(319, 0.03755684425352769)","(198, 0.048022707370629)","(625, 0.08097982747713735)","(202, 0.08531741692043446)","(100, 0.0808017692952581)","(122, 0.07087588711162568)"
"(110, 0.09047081870381969)","(672, 0.09146278331348467)","(33, 0.08937708938055518)","(229, 0.08464366547244781)","(112, 0.03747497114922017)","(588, 0.048007552386537825)","(389, 0.08061287785165687)","(12, 0.08522607828745019)","(389, 0.08061287667248532)","(84, 0.07074716083271537)"
"(588, 0.09033289974636308)","(67, 0.09144818360180601)","(596, 0.0892248032007395)","(325, 0.08463617476862653)","(36, 0.03733331337490786)","(179, 0.04795632307292714)","(329, 0.08058665568668293)","(673, 0.08466978086357767)","(329, 0.08058665405724504)","(273, 0.0705018110565302)"
"(550, 0.09028686351750204)","(625, 0.09054669429660707)","(588, 0.0889355672949311)","(34, 0.08463185882532993)","(395, 0.03728454426947917)","(307, 0.04765761283604646)","(197, 0.07996049162663763)","(13, 0.08444672203489255)","(197, 0.07996048940416535)","(140, 0.07014900084340968)"
"(59, 0.08998788353966951)","(638, 0.09051765984875067)","(59, 0.08891050579953484)","(650, 0.0843800778338746)","(402, 0.03712387275797737)","(221, 0.04756911972881515)","(196, 0.07986128917537914)","(327, 0.08419458841543867)","(196, 0.0798612891289755)","(199, 0.0700675067285996)"
"(678, 0.08926316261370618)","(50, 0.08947505914067065)","(650, 0.08875360186589523)","(384, 0.08413969108962582)","(187, 0.03653518662962832)","(273, 0.04739111021075072)","(11, 0.0795117291648711)","(326, 0.08338856114716793)","(11, 0.07951172176319526)","(218, 0.06986860174561822)"
"(261, 0.08907538002211336)","(68, 0.08831200152007458)","(199, 0.08869041561936764)","(50, 0.08401898872950235)","(4, 0.0358463521479077)","(46, 0.04734276759544819)","(326, 0.07898179545987417)","(33, 0.08296958431502487)","(326, 0.07898179391960898)","(127, 0.06983971876409914)"
"(49, 0.08875399222656832)","(610, 0.08759054097007403)","(638, 0.08866393846235415)","(177, 0.08400916705416231)","(1, 0.035399391872950076)","(610, 0.04699160419445285)","(84, 0.07861022552096932)","(550, 0.08258203215577374)","(20, 0.07873257375263522)","(51, 0.06930885897902814)"
"(418, 0.08796373028829545)","(472, 0.08739534789544329)","(636, 0.08826348163564224)","(672, 0.08341790547493988)","(125, 0.035353285340826)","(490, 0.04678357888396548)","(38, 0.07798180771941582)","(84, 0.08232065519834915)","(84, 0.07861022335980337)","(138, 0.06898489113544717)"
"(160, 0.08726076974193134)","(673, 0.08513616042864443)","(68, 0.0875013708705027)","(327, 0.08318113567817427)","(620, 0.03511466308491466)","(222, 0.046535738444952214)","(36, 0.07634900476231142)","(672, 0.08127852970811748)","(36, 0.07634900476809568)","(93, 0.06847719289205056)"
"(150, 0.08686430792578403)","(38, 0.08500771642777684)","(50, 0.08705400188459309)","(559, 0.08124206121854462)","(611, 0.03386925317560147)","(226, 0.04634931580802972)","(103, 0.07611230954390225)","(445, 0.08094266289619093)","(218, 0.07615690973804144)","(418, 0.06840071626137277)"
"(671, 0.08652870003970212)","(327, 0.08499405832540435)","(325, 0.08646481723272877)","(197, 0.07996053287286345)","(662, 0.03312712690116857)","(100, 0.04633749907376676)","(20, 0.07587532705270424)","(160, 0.08081188871929296)","(579, 0.07613386696265062)","(579, 0.06817141526006468)"
"(104, 0.08621188474390878)","(320, 0.08449245978941136)","(384, 0.08632520371269616)","(196, 0.07986133448480102)","(146, 0.03282146754000368)","(10, 0.04525370779130277)","(100, 0.0757272324784114)","(320, 0.08070145991964314)","(103, 0.0761123097860976)","(29, 0.06762755774622703)"
"(40, 0.08615553156938259)","(418, 0.08447385152252859)","(672, 0.08623580588254828)","(221, 0.07971502010500094)","(416, 0.03262320248350449)","(229, 0.04467987591840087)","(1, 0.07572476610233528)","(103, 0.08040666763338579)","(422, 0.07574301043346801)","(36, 0.06742231386311623)"
"(589, 0.08577066078338437)","(84, 0.08443657057095631)","(221, 0.08616409807763842)","(332, 0.07954033066909377)","(151, 0.032407997167675354)","(459, 0.04457507430750873)","(10, 0.07565294903869717)","(383, 0.07910908189851827)","(1, 0.07572475705668058)","(638, 0.06692460839015102)"
"(140, 0.08492998604205841)","(202, 0.08423549906665033)","(327, 0.08563069169420778)","(11, 0.07951175492722184)","(415, 0.03234032133142895)","(84, 0.04456961358598871)","(312, 0.07526075921237656)","(140, 0.07910646729142785)","(418, 0.07531331921331315)","(298, 0.06631443268832993)"
"(622, 0.08472114430476291)","(103, 0.08362378512806805)","(34, 0.08519654774606181)","(84, 0.07861023487505879)","(135, 0.032253473539445146)","(122, 0.04453495665635839)","(461, 0.07525533566006114)","(261, 0.078209708337756)","(461, 0.07525533365725724)","(12, 0.06615003776580788)"
"(93, 0.08445470380866708)","(384, 0.08333338385239311)","(1, 0.08468563207771297)","(20, 0.07683165900448187)","(39, 0.032251616308733945)","(120, 0.044449920092962496)","(310, 0.07497292878766114)","(136, 0.07804688567034174)","(414, 0.07442610811866)","(195, 0.06586847095134904)"
"(625, 0.08405916376090353)","(136, 0.08247403312085286)","(559, 0.08464428518911127)","(36, 0.07634902849827561)","(184, 0.03219042227978377)","(12, 0.0438999763942517)","(414, 0.07442610961096481)","(40, 0.07693589971367452)","(105, 0.07357129481644897)","(474, 0.06559720987499494)"
