Topic-1,Topic-2,Topic-3,Topic-4,Topic-5
"(426, 0.12646458211120692)","(511, 0.023008661897679653)","(442, 0.05592864775774601)","(429, 0.07611091944663043)","(331, 0.08225409833554494)"
"(4, 0.1257996529440486)","(102, 0.021863805341959457)","(160, 0.055648029604316834)","(501, 0.07588736833685894)","(57, 0.08213797102586795)"
"(35, 0.1257955574225198)","(476, 0.021786408136556315)","(441, 0.05546971936011941)","(592, 0.07564904127539573)","(159, 0.08178296877884036)"
"(36, 0.12560835498744236)","(475, 0.021679954228095155)","(663, 0.05522343213989284)","(533, 0.07562441112954146)","(652, 0.08166660818023919)"
"(519, 0.12548191953598717)","(482, 0.02105179318010326)","(492, 0.05504314173270127)","(110, 0.07547112051854468)","(34, 0.08145676823287946)"
"(518, 0.12528319876478172)","(500, 0.020474469937418926)","(505, 0.05441705137148324)","(74, 0.07504068566211934)","(412, 0.08143572062112814)"
"(632, 0.12516153161589566)","(473, 0.020302207029580795)","(575, 0.05431951317300291)","(420, 0.0750093057831509)","(537, 0.08134644889235046)"
"(653, 0.1250663029278839)","(48, 0.02005148439054039)","(631, 0.05416803336051499)","(546, 0.07489223059313463)","(402, 0.08085799809066752)"
"(522, 0.12458725986255532)","(72, 0.0200200334038868)","(632, 0.0541636948461021)","(42, 0.07477839980379589)","(643, 0.08081734170980315)"
"(635, 0.12458543714034001)","(481, 0.019989170883312063)","(518, 0.05395729456029497)","(428, 0.07433750631414693)","(329, 0.08075298165276497)"
"(55, 0.12430162285424873)","(479, 0.019603151577929058)","(187, 0.05394976516541305)","(634, 0.07429806895010994)","(591, 0.08045958558937122)"
"(590, 0.1240051482595345)","(122, 0.019587698469713248)","(563, 0.05385990370449623)","(75, 0.07417198431997532)","(642, 0.08045404457768209)"
"(625, 0.12346828609205286)","(474, 0.01936241866729769)","(227, 0.05367560090874015)","(556, 0.07416213470012238)","(442, 0.08038105463313261)"
"(319, 0.12344970535020397)","(477, 0.018816712091152526)","(608, 0.053519292669333626)","(591, 0.07372901547034813)","(78, 0.08015638045492209)"
"(326, 0.12340351301341553)","(478, 0.018546627974000283)","(609, 0.0533899638396654)","(51, 0.07293071829740645)","(401, 0.0800153794374296)"
"(546, 0.12328068214403527)","(480, 0.01822091839195999)","(164, 0.053310806190044774)","(565, 0.07277867542647457)","(40, 0.07995806982676865)"
"(536, 0.12268990401816098)","(485, 0.01718139218838128)","(622, 0.05317689147171586)","(496, 0.07267008054959734)","(441, 0.07977773460991709)"
"(534, 0.12244470917215385)","(487, 0.01705442782299781)","(645, 0.05223876059370178)","(534, 0.07256206987283097)","(131, 0.07970913569148874)"
"(535, 0.12231362692240921)","(196, 0.016397598413815394)","(572, 0.0521802833481447)","(306, 0.07250912059337355)","(387, 0.07964981526349071)"
"(542, 0.12231003759395752)","(207, 0.014342774112880334)","(596, 0.05173143135344072)","(50, 0.07241336867079728)","(426, 0.07961911091371077)"
"(401, 0.12207761023734588)","(202, 0.014012649929148536)","(494, 0.05152024078990149)","(305, 0.07230541719428682)","(608, 0.07935519227842144)"
"(601, 0.12186788414873816)","(37, 0.013871844330856257)","(107, 0.05147530549080505)","(503, 0.07199904022045686)","(641, 0.07928006058124815)"
"(154, 0.12136320913486552)","(230, 0.013653967620693742)","(643, 0.05142254429731166)","(535, 0.0717740720915566)","(669, 0.07926319114052895)"
"(390, 0.1210260723001252)","(36, 0.01347252928604823)","(592, 0.05139568523144263)","(673, 0.07173367790866894)","(144, 0.07925812761242454)"
"(549, 0.12098644210112162)","(327, 0.013420814964317516)","(564, 0.05125266932991093)","(627, 0.07168977679058383)","(588, 0.07915681403225794)"
"(59, 0.12051968184030597)","(38, 0.013044981888596267)","(521, 0.051221685340526735)","(7, 0.07147304178121067)","(547, 0.07898656925248392)"
"(614, 0.1204478592708533)","(33, 0.012986956011592235)","(490, 0.051058866252528166)","(489, 0.07119636705810178)","(573, 0.07896527222888122)"
"(589, 0.11999864772504468)","(293, 0.012737974240483568)","(642, 0.05102285164658277)","(590, 0.07113793053780766)","(400, 0.07879757174873017)"
"(61, 0.11969129544206211)","(197, 0.012659864645767108)","(495, 0.05087874982384468)","(630, 0.0705600023318267)","(662, 0.0785802150644126)"
"(648, 0.11950035477734597)","(185, 0.01145129880765404)","(550, 0.05036674410375847)","(624, 0.07053624025516883)","(609, 0.07851373264118461)"
"(593, 0.11904574633536703)","(206, 0.011400626658455995)","(543, 0.050279079760178993)","(69, 0.07040718965916005)","(81, 0.07833921095576571)"
"(610, 0.11891689320492785)","(198, 0.00998700055813133)","(538, 0.05026142995984438)","(52, 0.07012122093547334)","(307, 0.07829447573375965)"
